Code,Description,Unit,Mat Cost,Mat Factor,Mat Unit,Labor Cost,Labor Productivity,Labor Unit,Sub Cost,Equip Cost,Equip Productivity,Equip Unit,Other Cost
12.000040.0920,"6x26 Rectangular - 1"" Lined",LF,10.06,1.16,,75,4.48,HR,0,0,1,HR,0
12.000040.0930,6x26 Rectangular - Mastic,LF,14.45,1.16,,75,2.61,HR,0,0,1,HR,0
12.000040.0940,6x26 Rectangular - Bare,LF,6.45,1.16,,75,5.9,HR,0,0,1,HR,0
12.000040.0950,"6x28 Rectangular - 2"" Insulation",LF,8.78,1.16,,75,4.81,HR,0,0,1,HR,0
12.000040.0960,"6x28 Rectangular - 1"" Lined",LF,10.49,1.16,,75,4.4,HR,0,0,1,HR,0
12.000040.0970,6x28 Rectangular - Mastic,LF,15.36,1.16,,75,2.52,HR,0,0,1,HR,0
12.000040.0980,6x28 Rectangular - Bare,LF,6.86,1.16,,75,5.87,HR,0,0,1,HR,0
12.000040.0990,"6x30 Rectangular - 2"" Insulation",LF,9.17,1.66,,75,4.34,HR,0,0,1,HR,0
12.000040.1000,"6x8 Rectangular - 2"" Insulation",LF,3.71,1.1,,75,6.31,HR,0,0,1,HR,0
12.000040.1010,"6x30 Rectangular - 1"" Lined",LF,11.04,1.66,,75,3.99,HR,0,0,1,HR,0
12.000040.1020,6x30 Rectangular - Mastic,LF,16.14,1.66,,75,2.32,HR,0,0,1,HR,0
12.000040.1030,6x30 Rectangular - Bare,LF,7.14,1.66,,75,5.25,HR,0,0,1,HR,0
12.000040.1040,"6x32 Rectangular - 2"" Insulation",LF,9.68,1.66,,75,4.27,HR,0,0,1,HR,0
12.000040.1050,"6x32 Rectangular - 1"" Lined",LF,11.59,1.66,,75,3.92,HR,0,0,1,HR,0
12.000040.1060,6x32 Rectangular - Mastic,LF,17.04,1.66,,75,2.24,HR,0,0,1,HR,0
12.000040.1070,6x32 Rectangular - Bare,LF,7.54,1.66,,75,0.19,HR,0,0,1,HR,0
12.000040.1080,"6x8 Rectangular - 1"" Lined",LF,5.15,1.1,,75,6.01,HR,0,0,1,HR,0
12.000040.1090,6x8 Rectangular - Mastic,LF,6.42,1.1,,75,4.22,HR,0,0,1,HR,0
12.000040.1100,6x8 Rectangular - Bare,LF,2.92,1.1,,75,6.98,HR,0,0,1,HR,0
12.000040.1110,"6x10 Rectangular - 2"" Insulation",LF,4.24,1.1,,75,6.19,HR,0,0,1,HR,0
"12.000060 8"" Rectangular Duct",,,,,,,,,,,,,
12.000060.0009,"8x4 Rectangular - 2"" Insulation",LF,3.3,1.1,,75,7.79,HR,0,0,1,HR,0
12.000060.0010,"8x6 Rectangular - 2"" Insulation",LF,3.71,1.1,,75,6.31,HR,0,0,1,HR,0
12.000060.0020,"8x6 Rectangular - 1"" Lined",LF,5.15,1.1,,75,6.01,HR,0,0,1,HR,0
12.000060.0030,8x6 Rectangular - Mastic,LF,6.42,1.1,,75,4.22,HR,0,0,1,HR,0
12.000060.0040,8x6 Rectangular - Bare,LF,2.92,1.1,,75,6.98,HR,0,0,1,HR,0
12.000060.0050,"8x8 Rectangular - 2"" Insulation",LF,4.24,1.1,,75,6.19,HR,0,0,1,HR,0
12.000060.0060,"8x8 Rectangular - 1"" Lined",LF,5.72,1.1,,75,5.87,HR,0,0,1,HR,0
12.000060.0070,8x8 Rectangular - Mastic,LF,7.33,1.1,,75,3.99,HR,0,0,1,HR,0
12.000060.0080,8x8 Rectangular - Bare,LF,3.33,1.1,,75,6.94,HR,0,0,1,HR,0
